seq,external_id,timestamp,unix_ts,window_key,window_et_label,window_local_label,sec_from_window_start,sec_to_window_end,action_class,activity_type,outcome,side,price,size,amount_usd,cum_events,cum_buy,cum_sell,cum_merge,cum_usd,cum_size,cum_up_shares,cum_down_shares,cum_pairs_min,market_slug,event_slug,title
1,raw:6aa29f7d9adc0639056e9b60945530a7100f564b,2026-05-14T23:05:10+00:00,1778799910,btc-updown-5m-1778799900 | btc-updown-5m-1778799900,7:05-7:10 PM ET,02:05-02:10 Europe/Kyiv,10,290,BUY,TRADE,Down,BUY,0.4700000349800047,9.433961,4.433962,1,1,0,0,4.433962,9.433961,0.0,9.433961,0.0,btc-updown-5m-1778799900,btc-updown-5m-1778799900,"Bitcoin Up or Down - May 14, 7:05PM-7:10PM ET"
2,raw:983cdd4c0ded508dacc11705185c7916be501379,2026-05-14T23:05:10+00:00,1778799910,btc-updown-5m-1778799900 | btc-updown-5m-1778799900,7:05-7:10 PM ET,02:05-02:10 Europe/Kyiv,10,290,BUY,TRADE,Down,BUY,0.47,10.0,4.7,2,2,0,0,9.133962,19.433961,0.0,19.433961,0.0,btc-updown-5m-1778799900,btc-updown-5m-1778799900,"Bitcoin Up or Down - May 14, 7:05PM-7:10PM ET"
3,raw:9ca6f41ae78ad40fb5209acf744c8e398e8e8a9d,2026-05-14T23:05:10+00:00,1778799910,btc-updown-5m-1778799900 | btc-updown-5m-1778799900,7:05-7:10 PM ET,02:05-02:10 Europe/Kyiv,10,290,BUY,TRADE,Down,BUY,0.47,9.43,4.4321,3,3,0,0,13.566062,28.863961,0.0,28.863961,0.0,btc-updown-5m-1778799900,btc-updown-5m-1778799900,"Bitcoin Up or Down - May 14, 7:05PM-7:10PM ET"
4,raw:d34609fa00572c54d0e2337220e3eec96b0d4a9d,2026-05-14T23:05:10+00:00,1778799910,btc-updown-5m-1778799900 | btc-updown-5m-1778799900,7:05-7:10 PM ET,02:05-02:10 Europe/Kyiv,10,290,BUY,TRADE,Down,BUY,0.4700001219000939,1.886791,0.886792,4,4,0,0,14.452854,30.750752,0.0,30.750752,0.0,btc-updown-5m-1778799900,btc-updown-5m-1778799900,"Bitcoin Up or Down - May 14, 7:05PM-7:10PM ET"
5,raw:8ea5ef108556561e8cef8e3f60c65ae52ace8f47,2026-05-14T23:05:12+00:00,1778799912,btc-updown-5m-1778799900 | btc-updown-5m-1778799900,7:05-7:10 PM ET,02:05-02:10 Europe/Kyiv,12,288,BUY,TRADE,Down,BUY,0.4700001219000939,1.886791,0.886792,5,5,0,0,15.339646,32.637543,0.0,32.637543,0.0,btc-updown-5m-1778799900,btc-updown-5m-1778799900,"Bitcoin Up or Down - May 14, 7:05PM-7:10PM ET"
6,raw:1ab6272fe441934c8fd562bc505fb0d4dc8df72c,2026-05-14T23:05:16+00:00,1778799916,btc-updown-5m-1778799900 | btc-updown-5m-1778799900,7:05-7:10 PM ET,02:05-02:10 Europe/Kyiv,16,284,BUY,TRADE,Down,BUY,0.5400000080139379,24.95652,13.476521,6,6,0,0,28.816167,57.594063,0.0,57.594063,0.0,btc-updown-5m-1778799900,btc-updown-5m-1778799900,"Bitcoin Up or Down - May 14, 7:05PM-7:10PM ET"
7,raw:05a4174e58f1680b3e55e7a59cf10d515d17ef1f,2026-05-14T23:05:17+00:00,1778799917,btc-updown-5m-1778799900 | btc-updown-5m-1778799900,7:05-7:10 PM ET,02:05-02:10 Europe/Kyiv,17,283,BUY,TRADE,Up,BUY,0.41000015340011353,1.694914,0.694915,7,7,0,0,29.511082,59.288977,1.694914,57.594063,1.694914,btc-updown-5m-1778799900,btc-updown-5m-1778799900,"Bitcoin Up or Down - May 14, 7:05PM-7:10PM ET"
8,raw:0761b99921fe79d15aa66c8f2619633d2da1fae1,2026-05-14T23:05:17+00:00,1778799917,btc-updown-5m-1778799900 | btc-updown-5m-1778799900,7:05-7:10 PM ET,02:05-02:10 Europe/Kyiv,17,283,BUY,TRADE,Up,BUY,0.41000015340011353,1.694914,0.694915,8,8,0,0,30.205997,60.983891,3.389828,57.594063,3.389828,btc-updown-5m-1778799900,btc-updown-5m-1778799900,"Bitcoin Up or Down - May 14, 7:05PM-7:10PM ET"
9,raw:461381981604fda66856dfdbbdc86eeeda8bbf3d,2026-05-14T23:05:17+00:00,1778799917,btc-updown-5m-1778799900 | btc-updown-5m-1778799900,7:05-7:10 PM ET,02:05-02:10 Europe/Kyiv,17,283,BUY,TRADE,Up,BUY,0.4,50.0,20.0,9,9,0,0,50.205997,110.983891,53.389828,57.594063,53.389828,btc-updown-5m-1778799900,btc-updown-5m-1778799900,"Bitcoin Up or Down - May 14, 7:05PM-7:10PM ET"
10,raw:6f2c6840eabd8ae1c425b81c52d9c79431cd8542,2026-05-14T23:05:17+00:00,1778799917,btc-updown-5m-1778799900 | btc-updown-5m-1778799900,7:05-7:10 PM ET,02:05-02:10 Europe/Kyiv,17,283,BUY,TRADE,Up,BUY,0.41,5.0,2.05,10,10,0,0,52.255997,115.983891,58.389828,57.594063,57.594063,btc-updown-5m-1778799900,btc-updown-5m-1778799900,"Bitcoin Up or Down - May 14, 7:05PM-7:10PM ET"
11,raw:73652b83c0acdd2b4b051e338e43272f758a8ae2,2026-05-14T23:05:17+00:00,1778799917,btc-updown-5m-1778799900 | btc-updown-5m-1778799900,7:05-7:10 PM ET,02:05-02:10 Europe/Kyiv,17,283,BUY,TRADE,Up,BUY,0.41000004627455156,1.728812,0.708813,11,11,0,0,52.96481,117.712703,60.11864,57.594063,57.594063,btc-updown-5m-1778799900,btc-updown-5m-1778799900,"Bitcoin Up or Down - May 14, 7:05PM-7:10PM ET"
12,raw:746e6e4f4e6f0ec71106139f76c10b923f1c2f08,2026-05-14T23:05:17+00:00,1778799917,btc-updown-5m-1778799900 | btc-updown-5m-1778799900,7:05-7:10 PM ET,02:05-02:10 Europe/Kyiv,17,283,BUY,TRADE,Up,BUY,0.41,7.52,3.0832,12,12,0,0,56.04801,125.232703,67.63864,57.594063,57.594063,btc-updown-5m-1778799900,btc-updown-5m-1778799900,"Bitcoin Up or Down - May 14, 7:05PM-7:10PM ET"
13,raw:89ccf7d2806a628084c9a517085e7db84adadcaa,2026-05-14T23:05:17+00:00,1778799917,btc-updown-5m-1778799900 | btc-updown-5m-1778799900,7:05-7:10 PM ET,02:05-02:10 Europe/Kyiv,17,283,BUY,TRADE,Up,BUY,0.41000003034286425,11.864404,4.864406,13,13,0,0,60.912416,137.097107,79.503044,57.594063,57.594063,btc-updown-5m-1778799900,btc-updown-5m-1778799900,"Bitcoin Up or Down - May 14, 7:05PM-7:10PM ET"
14,raw:9c38fbf71b8bcbfd104b18e2282a76ec64cedecf,2026-05-14T23:05:17+00:00,1778799917,btc-updown-5m-1778799900 | btc-updown-5m-1778799900,7:05-7:10 PM ET,02:05-02:10 Europe/Kyiv,17,283,BUY,TRADE,Up,BUY,0.41,12.0,4.92,14,14,0,0,65.832416,149.097107,91.503044,57.594063,57.594063,btc-updown-5m-1778799900,btc-updown-5m-1778799900,"Bitcoin Up or Down - May 14, 7:05PM-7:10PM ET"
15,raw:b51fccf17d6a1c69f649935077c976507e75d2dc,2026-05-14T23:05:17+00:00,1778799917,btc-updown-5m-1778799900 | btc-updown-5m-1778799900,7:05-7:10 PM ET,02:05-02:10 Europe/Kyiv,17,283,BUY,TRADE,Up,BUY,0.4100000295000044,8.474575,3.474576,15,15,0,0,69.306992,157.571682,99.977619,57.594063,57.594063,btc-updown-5m-1778799900,btc-updown-5m-1778799900,"Bitcoin Up or Down - May 14, 7:05PM-7:10PM ET"
16,raw:0d9c6a5a955962aa7d7bf0e167b1176a901035ee,2026-05-14T23:05:21+00:00,1778799921,btc-updown-5m-1778799900 | btc-updown-5m-1778799900,7:05-7:10 PM ET,02:05-02:10 Europe/Kyiv,21,279,BUY,TRADE,Up,BUY,0.4,26.68,10.672,16,16,0,0,79.978992,184.251682,126.657619,57.594063,57.594063,btc-updown-5m-1778799900,btc-updown-5m-1778799900,"Bitcoin Up or Down - May 14, 7:05PM-7:10PM ET"
17,raw:8fe6528622e916d59ef2dc27126c14c70bf67403,2026-05-14T23:05:21+00:00,1778799921,btc-updown-5m-1778799900 | btc-updown-5m-1778799900,7:05-7:10 PM ET,02:05-02:10 Europe/Kyiv,21,279,BUY,TRADE,Up,BUY,0.4000000100128505,19.974332,7.989733,17,17,0,0,87.968725,204.226014,146.631951,57.594063,57.594063,btc-updown-5m-1778799900,btc-updown-5m-1778799900,"Bitcoin Up or Down - May 14, 7:05PM-7:10PM ET"
18,raw:b4a0395fb858dd1279c2b01cab91e1c74dffb2f2,2026-05-14T23:05:21+00:00,1778799921,btc-updown-5m-1778799900 | btc-updown-5m-1778799900,7:05-7:10 PM ET,02:05-02:10 Europe/Kyiv,21,279,BUY,TRADE,Down,BUY,0.57,50.0,28.5,18,18,0,0,116.468725,254.226014,146.631951,107.594063,107.594063,btc-updown-5m-1778799900,btc-updown-5m-1778799900,"Bitcoin Up or Down - May 14, 7:05PM-7:10PM ET"
19,raw:dbc88e7f6805143510b779ef7c0dd799ac5e9aa8,2026-05-14T23:05:21+00:00,1778799921,btc-updown-5m-1778799900 | btc-updown-5m-1778799900,7:05-7:10 PM ET,02:05-02:10 Europe/Kyiv,21,279,BUY,TRADE,Up,BUY,0.400000060000024,3.333332,1.333333,19,19,0,0,117.802058,257.559346,149.965283,107.594063,107.594063,btc-updown-5m-1778799900,btc-updown-5m-1778799900,"Bitcoin Up or Down - May 14, 7:05PM-7:10PM ET"
