2026-05-15T02:55:30+00:00 | sec=30  | BUY    | Up         | price=0.41       | size=1.89       | usd=0.7749    
2026-05-15T02:55:32+00:00 | sec=32  | BUY    | Up         | price=0.37000004038462314 | size=6.190475   | usd=2.290476  
2026-05-15T02:55:32+00:00 | sec=32  | BUY    | Up         | price=0.37       | size=10.0       | usd=3.7       
2026-05-15T02:55:32+00:00 | sec=32  | BUY    | Up         | price=0.37000015463660685 | size=1.746029   | usd=0.646031  
2026-05-15T02:55:32+00:00 | sec=32  | BUY    | Up         | price=0.3700000473486592 | size=7.603172   | usd=2.813174  
2026-05-15T02:55:32+00:00 | sec=32  | BUY    | Up         | price=0.37       | size=5.0        | usd=1.85      
2026-05-15T02:55:32+00:00 | sec=32  | BUY    | Up         | price=0.37       | size=7.0        | usd=2.59      
2026-05-15T02:55:32+00:00 | sec=32  | BUY    | Up         | price=0.38       | size=5.0        | usd=1.9       
2026-05-15T02:55:32+00:00 | sec=32  | BUY    | Up         | price=0.3800000372000052 | size=8.064515   | usd=3.064516  
2026-05-15T02:55:32+00:00 | sec=32  | BUY    | Up         | price=0.37       | size=5.0        | usd=1.85      
2026-05-15T02:55:32+00:00 | sec=32  | BUY    | Up         | price=0.38       | size=5.0        | usd=1.9       
2026-05-15T02:55:32+00:00 | sec=32  | BUY    | Up         | price=0.3800000201500044 | size=12.903223  | usd=4.903225  
2026-05-15T02:55:32+00:00 | sec=32  | BUY    | Up         | price=0.38       | size=8.0        | usd=3.04      
2026-05-15T02:55:32+00:00 | sec=32  | BUY    | Up         | price=0.38       | size=1.34       | usd=0.5092    
2026-05-15T02:55:32+00:00 | sec=32  | BUY    | Up         | price=0.37       | size=7.44       | usd=2.7528    
2026-05-15T02:55:32+00:00 | sec=32  | BUY    | Up         | price=0.38000001653333565 | size=9.677418   | usd=3.677419  
2026-05-15T02:55:34+00:00 | sec=34  | BUY    | Up         | price=0.36       | size=4.32       | usd=1.5552    
2026-05-15T02:55:34+00:00 | sec=34  | BUY    | Up         | price=0.36       | size=0.8        | usd=0.288     
2026-05-15T02:55:34+00:00 | sec=34  | BUY    | Up         | price=0.36       | size=10.0       | usd=3.6       
2026-05-15T02:55:34+00:00 | sec=34  | BUY    | Up         | price=0.36       | size=5.0        | usd=1.8       
2026-05-15T02:55:34+00:00 | sec=34  | BUY    | Up         | price=0.36       | size=2.078125   | usd=0.748125  
2026-05-15T02:55:34+00:00 | sec=34  | BUY    | Up         | price=0.36       | size=7.8125     | usd=2.8125    
2026-05-15T02:55:34+00:00 | sec=34  | BUY    | Up         | price=0.36       | size=5.0        | usd=1.8       
2026-05-15T02:55:34+00:00 | sec=34  | BUY    | Up         | price=0.36       | size=2.078125   | usd=0.748125  
2026-05-15T02:55:34+00:00 | sec=34  | BUY    | Up         | price=0.36       | size=7.8125     | usd=2.8125    
2026-05-15T02:55:34+00:00 | sec=34  | BUY    | Up         | price=0.36       | size=5.078125   | usd=1.828125  
2026-05-15T02:55:35+00:00 | sec=35  | BUY    | Up         | price=0.35000004479054597 | size=4.465228   | usd=1.56283   
2026-05-15T02:55:37+00:00 | sec=37  | BUY    | Up         | price=0.340002712354776 | size=0.110605   | usd=0.037606  
2026-05-15T02:55:37+00:00 | sec=37  | BUY    | Up         | price=0.35       | size=1.53846    | usd=0.538461  
2026-05-15T02:55:37+00:00 | sec=37  | BUY    | Up         | price=0.34       | size=1.51515    | usd=0.515151  
2026-05-15T02:55:37+00:00 | sec=37  | BUY    | Up         | price=0.35       | size=10.0       | usd=3.5       
2026-05-15T02:55:37+00:00 | sec=37  | BUY    | Up         | price=0.35       | size=28.99      | usd=10.1465   
2026-05-15T02:55:37+00:00 | sec=37  | BUY    | Up         | price=0.35       | size=5.0        | usd=1.75      
2026-05-15T02:55:39+00:00 | sec=39  | BUY    | Down       | price=0.59000002116848 | size=17.951218  | usd=10.591219 
2026-05-15T02:55:39+00:00 | sec=39  | BUY    | Down       | price=0.61       | size=50.0       | usd=30.5      
2026-05-15T02:55:39+00:00 | sec=39  | BUY    | Down       | price=0.6        | size=0.4        | usd=0.24      
2026-05-15T02:55:41+00:00 | sec=41  | BUY    | Down       | price=0.59       | size=30.0       | usd=17.7      
2026-05-15T02:55:41+00:00 | sec=41  | BUY    | Down       | price=0.59       | size=0.4        | usd=0.236     
2026-05-15T02:55:41+00:00 | sec=41  | BUY    | Up         | price=0.3900000244000039 | size=8.19672    | usd=3.196721  
2026-05-15T02:55:41+00:00 | sec=41  | BUY    | Down       | price=0.59       | size=1.64       | usd=0.9676    
2026-05-15T02:55:41+00:00 | sec=41  | BUY    | Down       | price=0.6        | size=49.6       | usd=29.76     
2026-05-15T02:55:41+00:00 | sec=41  | BUY    | Up         | price=0.3900001151596112 | size=1.73672    | usd=0.677321  
2026-05-15T02:55:42+00:00 | sec=42  | BUY    | Up         | price=0.39       | size=10.0       | usd=3.9       
2026-05-15T02:55:44+00:00 | sec=44  | BUY    | Down       | price=0.5600080818965517 | size=0.044544   | usd=0.024945  
2026-05-15T02:55:44+00:00 | sec=44  | BUY    | Down       | price=0.57       | size=0.55       | usd=0.3135    
