seq,external_id,timestamp,unix_ts,window_key,window_et_label,window_local_label,sec_from_window_start,sec_to_window_end,action_class,activity_type,outcome,side,price,size,amount_usd,cum_events,cum_buy,cum_sell,cum_merge,cum_usd,cum_size,cum_up_shares,cum_down_shares,cum_pairs_min,market_slug,event_slug,title
1,raw:2ea622f451a6c7daebb9bc272f8b63beac3c482b,2026-05-14T21:55:14+00:00,1778795714,btc-updown-5m-1778795700 | btc-updown-5m-1778795700,5:55-6:00 PM ET,00:55-01:00 Europe/Kyiv,14,286,BUY,TRADE,Down,BUY,0.77,17.45,13.4365,1,1,0,0,13.4365,17.45,0.0,17.45,0.0,btc-updown-5m-1778795700,btc-updown-5m-1778795700,"Bitcoin Up or Down - May 14, 5:55PM-6:00PM ET"
2,raw:996b80992105fb634943389f798f47e0e3f3702b,2026-05-14T21:55:14+00:00,1778795714,btc-updown-5m-1778795700 | btc-updown-5m-1778795700,5:55-6:00 PM ET,00:55-01:00 Europe/Kyiv,14,286,BUY,TRADE,Down,BUY,0.77,19.55,15.0535,2,2,0,0,28.49,37.0,0.0,37.0,0.0,btc-updown-5m-1778795700,btc-updown-5m-1778795700,"Bitcoin Up or Down - May 14, 5:55PM-6:00PM ET"
3,raw:c48a74af3f1322db7c43d669cca58fdfc446029a,2026-05-14T21:55:14+00:00,1778795714,btc-updown-5m-1778795700 | btc-updown-5m-1778795700,5:55-6:00 PM ET,00:55-01:00 Europe/Kyiv,14,286,BUY,TRADE,Down,BUY,0.77,13.0,10.01,3,3,0,0,38.5,50.0,0.0,50.0,0.0,btc-updown-5m-1778795700,btc-updown-5m-1778795700,"Bitcoin Up or Down - May 14, 5:55PM-6:00PM ET"
4,raw:0e72ba47ae12b43f52c28764a668d99fa112dea7,2026-05-14T21:55:16+00:00,1778795716,btc-updown-5m-1778795700 | btc-updown-5m-1778795700,5:55-6:00 PM ET,00:55-01:00 Europe/Kyiv,16,284,BUY,TRADE,Down,BUY,0.77,50.0,38.5,4,4,0,0,77.0,100.0,0.0,100.0,0.0,btc-updown-5m-1778795700,btc-updown-5m-1778795700,"Bitcoin Up or Down - May 14, 5:55PM-6:00PM ET"
5,raw:1723ddb183696921f3c1164df2b3b8e4e449acd8,2026-05-14T21:55:16+00:00,1778795716,btc-updown-5m-1778795700 | btc-updown-5m-1778795700,5:55-6:00 PM ET,00:55-01:00 Europe/Kyiv,16,284,BUY,TRADE,Down,BUY,0.76,2.42,1.8392,5,5,0,0,78.8392,102.42,0.0,102.42,0.0,btc-updown-5m-1778795700,btc-updown-5m-1778795700,"Bitcoin Up or Down - May 14, 5:55PM-6:00PM ET"
6,raw:1ce5c5c14d138d453b153fcd561b5970f58f1f5f,2026-05-14T21:55:16+00:00,1778795716,btc-updown-5m-1778795700 | btc-updown-5m-1778795700,5:55-6:00 PM ET,00:55-01:00 Europe/Kyiv,16,284,BUY,TRADE,Down,BUY,0.76,50.0,38.0,6,6,0,0,116.8392,152.42,0.0,152.42,0.0,btc-updown-5m-1778795700,btc-updown-5m-1778795700,"Bitcoin Up or Down - May 14, 5:55PM-6:00PM ET"
7,raw:40e59bc10639e501d5adfbce552cb3799cae7a84,2026-05-14T21:55:16+00:00,1778795716,btc-updown-5m-1778795700 | btc-updown-5m-1778795700,5:55-6:00 PM ET,00:55-01:00 Europe/Kyiv,16,284,BUY,TRADE,Down,BUY,0.75,50.0,37.5,7,7,0,0,154.3392,202.42,0.0,202.42,0.0,btc-updown-5m-1778795700,btc-updown-5m-1778795700,"Bitcoin Up or Down - May 14, 5:55PM-6:00PM ET"
8,raw:519ac688389f7354190279c30b89ba8c8bd094b0,2026-05-14T21:55:16+00:00,1778795716,btc-updown-5m-1778795700 | btc-updown-5m-1778795700,5:55-6:00 PM ET,00:55-01:00 Europe/Kyiv,16,284,BUY,TRADE,Down,BUY,0.72,50.0,36.0,8,8,0,0,190.3392,252.42,0.0,252.42,0.0,btc-updown-5m-1778795700,btc-updown-5m-1778795700,"Bitcoin Up or Down - May 14, 5:55PM-6:00PM ET"
9,raw:61e163f944350c08757db50e4365842d5e42c402,2026-05-14T21:55:16+00:00,1778795716,btc-updown-5m-1778795700 | btc-updown-5m-1778795700,5:55-6:00 PM ET,00:55-01:00 Europe/Kyiv,16,284,BUY,TRADE,Down,BUY,0.7,50.0,35.0,9,9,0,0,225.3392,302.42,0.0,302.42,0.0,btc-updown-5m-1778795700,btc-updown-5m-1778795700,"Bitcoin Up or Down - May 14, 5:55PM-6:00PM ET"
10,raw:63ffcb8f19413bf90f234d6f80ca59a81e6f0b5b,2026-05-14T21:55:16+00:00,1778795716,btc-updown-5m-1778795700 | btc-updown-5m-1778795700,5:55-6:00 PM ET,00:55-01:00 Europe/Kyiv,16,284,BUY,TRADE,Down,BUY,0.77,50.0,38.5,10,10,0,0,263.8392,352.42,0.0,352.42,0.0,btc-updown-5m-1778795700,btc-updown-5m-1778795700,"Bitcoin Up or Down - May 14, 5:55PM-6:00PM ET"
11,raw:6e5d1dfb3c7e2ebe6bbc53ea76d23eef8bcf30b6,2026-05-14T21:55:16+00:00,1778795716,btc-updown-5m-1778795700 | btc-updown-5m-1778795700,5:55-6:00 PM ET,00:55-01:00 Europe/Kyiv,16,284,BUY,TRADE,Down,BUY,0.69,50.0,34.5,11,11,0,0,298.3392,402.42,0.0,402.42,0.0,btc-updown-5m-1778795700,btc-updown-5m-1778795700,"Bitcoin Up or Down - May 14, 5:55PM-6:00PM ET"
