2026-05-15T01:40:24+00:00 | sec=24  | BUY    | Down       | price=0.32       | size=2.98       | usd=0.9536    
2026-05-15T01:40:24+00:00 | sec=24  | BUY    | Down       | price=0.3200001088000914 | size=1.470587   | usd=0.470588  
2026-05-15T01:40:24+00:00 | sec=24  | BUY    | Down       | price=0.32       | size=5.0        | usd=1.6       
2026-05-15T01:40:26+00:00 | sec=26  | BUY    | Up         | price=0.57       | size=6.45       | usd=3.6765    
2026-05-15T01:40:26+00:00 | sec=26  | BUY    | Down       | price=0.3200000359471505 | size=6.676468   | usd=2.13647   
2026-05-15T01:40:26+00:00 | sec=26  | BUY    | Up         | price=0.57       | size=2.09       | usd=1.1913    
2026-05-15T01:40:26+00:00 | sec=26  | BUY    | Up         | price=0.63       | size=50.0       | usd=31.5      
2026-05-15T01:40:26+00:00 | sec=26  | BUY    | Up         | price=0.57       | size=17.13      | usd=9.7641    
2026-05-15T01:40:26+00:00 | sec=26  | BUY    | Up         | price=0.57       | size=5.0        | usd=2.85      
2026-05-15T01:40:26+00:00 | sec=26  | BUY    | Up         | price=0.5700001720001032 | size=2.32558    | usd=1.325581  
2026-05-15T01:40:26+00:00 | sec=26  | BUY    | Up         | price=0.57       | size=17.0       | usd=9.69      
2026-05-15T01:40:34+00:00 | sec=34  | BUY    | Down       | price=0.37       | size=1.5873     | usd=0.587301  
2026-05-15T01:40:36+00:00 | sec=36  | BUY    | Down       | price=0.37       | size=42.41      | usd=15.6917   
2026-05-15T01:40:36+00:00 | sec=36  | BUY    | Down       | price=0.37       | size=6.0        | usd=2.22      
2026-05-15T01:40:38+00:00 | sec=38  | BUY    | Down       | price=0.37000006300001337 | size=5.079364   | usd=1.879365  
2026-05-15T01:40:38+00:00 | sec=38  | BUY    | Down       | price=0.37       | size=1.5873     | usd=0.587301  
2026-05-15T01:40:38+00:00 | sec=38  | BUY    | Down       | price=0.37       | size=1.5873     | usd=0.587301  
2026-05-15T01:40:38+00:00 | sec=38  | BUY    | Down       | price=0.37000000759095675 | size=26.34714   | usd=9.748442  
2026-05-15T01:40:40+00:00 | sec=40  | BUY    | Down       | price=0.37       | size=1.5873     | usd=0.587301  
2026-05-15T01:40:40+00:00 | sec=40  | BUY    | Down       | price=0.370000018900007 | size=7.936505   | usd=2.936507  
2026-05-15T01:40:40+00:00 | sec=40  | BUY    | Down       | price=0.37       | size=25.3       | usd=9.361     
2026-05-15T01:40:40+00:00 | sec=40  | BUY    | Down       | price=0.37       | size=1.5873     | usd=0.587301  
2026-05-15T01:40:40+00:00 | sec=40  | BUY    | Down       | price=0.37       | size=4.27       | usd=1.5799    
2026-05-15T01:40:43+00:00 | sec=43  | BUY    | Up         | price=0.5        | size=29.18      | usd=14.59     
2026-05-15T01:40:43+00:00 | sec=43  | BUY    | Up         | price=0.55       | size=10.25      | usd=5.6375    
2026-05-15T01:40:43+00:00 | sec=43  | BUY    | Up         | price=0.5        | size=5.0        | usd=2.5       
2026-05-15T01:40:43+00:00 | sec=43  | BUY    | Up         | price=0.57       | size=17.11      | usd=9.7527    
2026-05-15T01:40:43+00:00 | sec=43  | BUY    | Up         | price=0.5        | size=6.0        | usd=3.0       
2026-05-15T01:40:43+00:00 | sec=43  | BUY    | Up         | price=0.55       | size=39.75      | usd=21.8625   
2026-05-15T01:40:43+00:00 | sec=43  | BUY    | Up         | price=0.56       | size=40.0       | usd=22.4      
2026-05-15T01:40:43+00:00 | sec=43  | BUY    | Up         | price=0.51       | size=20.0       | usd=10.2      
