seq,external_id,timestamp,unix_ts,window_key,window_et_label,window_local_label,sec_from_window_start,sec_to_window_end,action_class,activity_type,outcome,side,price,size,amount_usd,cum_events,cum_buy,cum_sell,cum_merge,cum_usd,cum_size,cum_up_shares,cum_down_shares,cum_pairs_min,market_slug,event_slug,title
1,raw:b693a7747e6bc8add72402188815632d8e67f2c0,2026-05-15T01:05:12+00:00,1778807112,btc-updown-5m-1778807100 | btc-updown-5m-1778807100,9:05-9:10 PM ET,04:05-04:10 Europe/Kyiv,12,288,BUY,TRADE,Down,BUY,0.68,3.125,2.125,1,1,0,0,2.125,3.125,0.0,3.125,0.0,btc-updown-5m-1778807100,btc-updown-5m-1778807100,"Bitcoin Up or Down - May 14, 9:05PM-9:10PM ET"
2,raw:4ae16845f67ba3477734da15c8c8944884bc9a6a,2026-05-15T01:05:15+00:00,1778807115,btc-updown-5m-1778807100 | btc-updown-5m-1778807100,9:05-9:10 PM ET,04:05-04:10 Europe/Kyiv,15,285,BUY,TRADE,Down,BUY,0.7100000153700007,34.482757,24.482758,2,2,0,0,26.607758,37.607757,0.0,37.607757,0.0,btc-updown-5m-1778807100,btc-updown-5m-1778807100,"Bitcoin Up or Down - May 14, 9:05PM-9:10PM ET"
3,raw:6f4626ad586e4a76f1bd4f360496592afcbabc50,2026-05-15T01:05:15+00:00,1778807115,btc-updown-5m-1778807100 | btc-updown-5m-1778807100,9:05-9:10 PM ET,04:05-04:10 Europe/Kyiv,15,285,BUY,TRADE,Down,BUY,0.71,5.0,3.55,3,3,0,0,30.157758,42.607757,0.0,42.607757,0.0,btc-updown-5m-1778807100,btc-updown-5m-1778807100,"Bitcoin Up or Down - May 14, 9:05PM-9:10PM ET"
4,raw:871e4358f8a491a6d003fba0af3c0a5319a0722b,2026-05-15T01:05:15+00:00,1778807115,btc-updown-5m-1778807100 | btc-updown-5m-1778807100,9:05-9:10 PM ET,04:05-04:10 Europe/Kyiv,15,285,BUY,TRADE,Down,BUY,0.71,5.0,3.55,4,4,0,0,33.707758,47.607757,0.0,47.607757,0.0,btc-updown-5m-1778807100,btc-updown-5m-1778807100,"Bitcoin Up or Down - May 14, 9:05PM-9:10PM ET"
5,raw:8a6068544d6edaec927a118e7fe7ff3a7b98edc0,2026-05-15T01:05:15+00:00,1778807115,btc-updown-5m-1778807100 | btc-updown-5m-1778807100,9:05-9:10 PM ET,04:05-04:10 Europe/Kyiv,15,285,BUY,TRADE,Down,BUY,0.7100001705883022,3.51724,2.497241,5,5,0,0,36.204999,51.124997,0.0,51.124997,0.0,btc-updown-5m-1778807100,btc-updown-5m-1778807100,"Bitcoin Up or Down - May 14, 9:05PM-9:10PM ET"
6,raw:c81b183084f7347b870a6a57853928d5dece7895,2026-05-15T01:05:15+00:00,1778807115,btc-updown-5m-1778807100 | btc-updown-5m-1778807100,9:05-9:10 PM ET,04:05-04:10 Europe/Kyiv,15,285,BUY,TRADE,Down,BUY,0.71,1.99,1.4129,6,6,0,0,37.617899,53.114997,0.0,53.114997,0.0,btc-updown-5m-1778807100,btc-updown-5m-1778807100,"Bitcoin Up or Down - May 14, 9:05PM-9:10PM ET"
7,raw:db8d67cf9130416c3f1b2856f008f63e4c6fa81e,2026-05-15T01:05:15+00:00,1778807115,btc-updown-5m-1778807100 | btc-updown-5m-1778807100,9:05-9:10 PM ET,04:05-04:10 Europe/Kyiv,15,285,BUY,TRADE,Down,BUY,0.71,50.0,35.5,7,7,0,0,73.117899,103.114997,0.0,103.114997,0.0,btc-updown-5m-1778807100,btc-updown-5m-1778807100,"Bitcoin Up or Down - May 14, 9:05PM-9:10PM ET"
8,raw:6d73c66a97524a3959e14cdd6c606c9047fc3509,2026-05-15T01:05:19+00:00,1778807119,btc-updown-5m-1778807100 | btc-updown-5m-1778807100,9:05-9:10 PM ET,04:05-04:10 Europe/Kyiv,19,281,BUY,TRADE,Down,BUY,0.7200000952000152,7.142856,5.142857,8,8,0,0,78.260756,110.257853,0.0,110.257853,0.0,btc-updown-5m-1778807100,btc-updown-5m-1778807100,"Bitcoin Up or Down - May 14, 9:05PM-9:10PM ET"
9,raw:92e46a8748cd64cb2abc7efc0eafb3134733c8c1,2026-05-15T01:05:19+00:00,1778807119,btc-updown-5m-1778807100 | btc-updown-5m-1778807100,9:05-9:10 PM ET,04:05-04:10 Europe/Kyiv,19,281,BUY,TRADE,Down,BUY,0.7200001146159624,5.932856,4.271657,9,9,0,0,82.532413,116.190709,0.0,116.190709,0.0,btc-updown-5m-1778807100,btc-updown-5m-1778807100,"Bitcoin Up or Down - May 14, 9:05PM-9:10PM ET"
10,raw:99cc9d6be824864cb494f601f2d8ff71ef9a2e09,2026-05-15T01:05:19+00:00,1778807119,btc-updown-5m-1778807100 | btc-updown-5m-1778807100,9:05-9:10 PM ET,04:05-04:10 Europe/Kyiv,19,281,BUY,TRADE,Down,BUY,0.72,20.98,15.1056,10,10,0,0,97.638013,137.170709,0.0,137.170709,0.0,btc-updown-5m-1778807100,btc-updown-5m-1778807100,"Bitcoin Up or Down - May 14, 9:05PM-9:10PM ET"
