2026-05-15T04:30:30+00:00 | sec=30  | BUY    | Up         | price=0.6200000258400035 | size=13.157893  | usd=8.157894  
2026-05-15T04:30:30+00:00 | sec=30  | BUY    | Down       | price=0.370000018900007 | size=7.936505   | usd=2.936507  
2026-05-15T04:30:30+00:00 | sec=30  | BUY    | Down       | price=0.370000018900007 | size=7.936505   | usd=2.936507  
2026-05-15T04:30:30+00:00 | sec=30  | BUY    | Down       | price=0.37       | size=5.0        | usd=1.85      
2026-05-15T04:30:32+00:00 | sec=32  | BUY    | Down       | price=0.37000001647692515 | size=20.634918  | usd=7.63492   
2026-05-15T04:30:39+00:00 | sec=39  | BUY    | Up         | price=0.5600000428213487 | size=9.341135   | usd=5.231036  
2026-05-15T04:30:39+00:00 | sec=39  | BUY    | Up         | price=0.5600000566081964 | size=7.772726   | usd=4.352727  
2026-05-15T04:30:40+00:00 | sec=40  | BUY    | Up         | price=0.58       | size=10.0       | usd=5.8       
2026-05-15T04:30:40+00:00 | sec=40  | BUY    | Up         | price=0.56       | size=3.0        | usd=1.68      
2026-05-15T04:30:40+00:00 | sec=40  | BUY    | Up         | price=0.56       | size=3.14       | usd=1.7584    
2026-05-15T04:30:42+00:00 | sec=42  | BUY    | Up         | price=0.5700001720001032 | size=2.32558    | usd=1.325581  
2026-05-15T04:30:42+00:00 | sec=42  | BUY    | Up         | price=0.570000123787937 | size=3.069766   | usd=1.749767  
2026-05-15T04:30:42+00:00 | sec=42  | BUY    | Up         | price=0.5700001720001032 | size=2.32558    | usd=1.325581  
2026-05-15T04:30:42+00:00 | sec=42  | BUY    | Up         | price=0.57       | size=7.31       | usd=4.1667    
2026-05-15T04:30:44+00:00 | sec=44  | BUY    | Up         | price=0.57       | size=19.72      | usd=11.2404   
2026-05-15T04:30:44+00:00 | sec=44  | BUY    | Up         | price=0.57       | size=10.0       | usd=5.7       
2026-05-15T04:30:44+00:00 | sec=44  | BUY    | Up         | price=0.57       | size=5.24       | usd=2.9868    
2026-05-15T04:30:46+00:00 | sec=46  | BUY    | Up         | price=0.57       | size=50.0       | usd=28.5      
2026-05-15T04:30:47+00:00 | sec=47  | BUY    | Up         | price=0.5700001720001032 | size=2.32558    | usd=1.325581  
2026-05-15T04:30:47+00:00 | sec=47  | BUY    | Up         | price=0.57       | size=0.05       | usd=0.0285    
2026-05-15T04:30:51+00:00 | sec=51  | BUY    | Up         | price=0.5200000201680706 | size=9.916665   | usd=5.156666  
2026-05-15T04:30:56+00:00 | sec=56  | BUY    | Down       | price=0.5300000297666747 | size=6.382977   | usd=3.382978  
2026-05-15T04:30:58+00:00 | sec=58  | BUY    | Down       | price=0.53       | size=5.18       | usd=2.7454    
2026-05-15T04:30:58+00:00 | sec=58  | BUY    | Down       | price=0.5300000297666747 | size=6.382977   | usd=3.382978  
2026-05-15T04:30:58+00:00 | sec=58  | BUY    | Down       | price=0.53       | size=2.1        | usd=1.113     
2026-05-15T04:30:58+00:00 | sec=58  | BUY    | Down       | price=0.5300001410001927 | size=1.276594   | usd=0.676595  

LAST MINUTE TRADES (240-299s)
----------------------------------------------------------------------------------------------------
count: 7
2026-05-15T04:34:02+00:00 | sec=242 | BUY    | Up         | price=0.74       | size=4.5        | usd=3.33      
2026-05-15T04:34:02+00:00 | sec=242 | BUY    | Up         | price=0.7400000416000038 | size=15.384614  | usd=11.384615 
2026-05-15T04:34:02+00:00 | sec=242 | BUY    | Up         | price=0.74       | size=4.87       | usd=3.6038    
2026-05-15T04:34:02+00:00 | sec=242 | BUY    | Up         | price=0.7400000222503978 | size=24.269229  | usd=17.95923  
2026-05-15T04:34:02+00:00 | sec=242 | BUY    | Up         | price=0.74       | size=0.28       | usd=0.2072    
2026-05-15T04:34:02+00:00 | sec=242 | BUY    | Up         | price=0.74       | size=0.69       | usd=0.5106    
2026-05-15T04:34:05+00:00 | sec=245 | BUY    | Up         | price=0.74       | size=50.0       | usd=37.0      
