2026-05-14T21:25:31+00:00 | sec=31  | BUY    | Up         | price=0.54       | size=40.0       | usd=21.6      
2026-05-14T21:25:31+00:00 | sec=31  | BUY    | Up         | price=0.53       | size=9.72       | usd=5.1516    
2026-05-14T21:25:32+00:00 | sec=32  | BUY    | Up         | price=0.52       | size=9.0        | usd=4.68      
2026-05-14T21:25:34+00:00 | sec=34  | BUY    | Up         | price=0.52       | size=24.11      | usd=12.5372   
2026-05-14T21:25:34+00:00 | sec=34  | BUY    | Up         | price=0.51       | size=9.37       | usd=4.7787    
2026-05-14T21:25:34+00:00 | sec=34  | BUY    | Up         | price=0.5100000168965584 | size=4.734692   | usd=2.414693  
2026-05-14T21:25:34+00:00 | sec=34  | BUY    | Up         | price=0.54       | size=50.0       | usd=27.0      
2026-05-14T21:25:34+00:00 | sec=34  | BUY    | Up         | price=0.51       | size=35.89      | usd=18.3039   
2026-05-14T21:25:36+00:00 | sec=36  | BUY    | Down       | price=0.45       | size=33.95      | usd=15.2775   
2026-05-14T21:25:36+00:00 | sec=36  | BUY    | Down       | price=0.45       | size=16.05      | usd=7.2225    
2026-05-14T21:25:45+00:00 | sec=45  | BUY    | Down       | price=0.42       | size=7.57       | usd=3.1794    
2026-05-14T21:25:45+00:00 | sec=45  | BUY    | Up         | price=0.54       | size=50.0       | usd=27.0      
2026-05-14T21:25:45+00:00 | sec=45  | BUY    | Down       | price=0.4200000355964757 | size=8.989654   | usd=3.775655  
2026-05-14T21:25:46+00:00 | sec=46  | BUY    | Down       | price=0.4        | size=50.0       | usd=20.0      
2026-05-14T21:25:46+00:00 | sec=46  | BUY    | Down       | price=0.41       | size=50.0       | usd=20.5      
2026-05-14T21:25:46+00:00 | sec=46  | BUY    | Down       | price=0.39       | size=50.0       | usd=19.5      
2026-05-14T21:25:46+00:00 | sec=46  | BUY    | Down       | price=0.42       | size=33.44      | usd=14.0448   
2026-05-14T21:25:52+00:00 | sec=52  | BUY    | Up         | price=0.49       | size=5.0        | usd=2.45      
2026-05-14T21:25:52+00:00 | sec=52  | BUY    | Up         | price=0.49       | size=25.0       | usd=12.25     
2026-05-14T21:25:52+00:00 | sec=52  | BUY    | Up         | price=0.49       | size=20.0       | usd=9.8       
2026-05-14T21:25:52+00:00 | sec=52  | BUY    | Up         | price=0.48       | size=50.0       | usd=24.0      
2026-05-14T21:25:53+00:00 | sec=53  | BUY    | Up         | price=0.49000012265827597 | size=3.098038   | usd=1.518039  
2026-05-14T21:25:53+00:00 | sec=53  | BUY    | Up         | price=0.49000014433971795 | size=2.07843    | usd=1.018431  
2026-05-14T21:25:53+00:00 | sec=53  | BUY    | Up         | price=0.49       | size=1.72       | usd=0.8428    
2026-05-14T21:25:55+00:00 | sec=55  | BUY    | Up         | price=0.49       | size=3.0        | usd=1.47      
2026-05-14T21:25:59+00:00 | sec=59  | BUY    | Up         | price=0.4        | size=34.38      | usd=13.752    
2026-05-14T21:25:59+00:00 | sec=59  | BUY    | Up         | price=0.4        | size=2.21       | usd=0.884     
2026-05-14T21:25:59+00:00 | sec=59  | BUY    | Up         | price=0.39000003795556165 | size=7.377048   | usd=2.877049  
2026-05-14T21:25:59+00:00 | sec=59  | BUY    | Up         | price=0.3900000610000346 | size=2.459015   | usd=0.959016  
2026-05-14T21:25:59+00:00 | sec=59  | BUY    | Up         | price=0.41       | size=50.0       | usd=20.5      
2026-05-14T21:25:59+00:00 | sec=59  | BUY    | Up         | price=0.4000000150000015 | size=13.333332  | usd=5.333333  
2026-05-14T21:25:59+00:00 | sec=59  | BUY    | Up         | price=0.4        | size=0.07       | usd=0.028     
2026-05-14T21:25:59+00:00 | sec=59  | BUY    | Up         | price=0.39       | size=1.63       | usd=0.6357    

LAST MINUTE TRADES (240-299s)
----------------------------------------------------------------------------------------------------
count: 0
No trades in last minute

ALL EVENTS (FULL, NO TRUNCATION)
----------------------------------------------------------------------------------------------------
2026-05-14T21:25:15+00:00 | sec=15  | BUY    | Down       | price=0.39       | size=10.94      | usd=4.2666     | ext_id=raw:440651e8cea9f4f000087913288f70f966f3496c
2026-05-14T21:25:15+00:00 | sec=15  | BUY    | Down       | price=0.39000001198800266 | size=31.698358  | usd=12.36236   | ext_id=raw:8178604770553c8d184c54afcffdb765d8f8bb50
2026-05-14T21:25:15+00:00 | sec=15  | BUY    | Down       | price=0.39000005033454105 | size=7.350817   | usd=2.866819   | ext_id=raw:a675b89474c6622f881748d2a823504d7bf3e09e
2026-05-14T21:25:20+00:00 | sec=20  | BUY    | Down       | price=0.39       | size=4.98       | usd=1.9422     | ext_id=raw:3d980f21fef8a5289e62e7da16e32e1518dd2eed
2026-05-14T21:25:20+00:00 | sec=20  | BUY    | Down       | price=0.3900000321703902 | size=8.081966   | usd=3.151967   | ext_id=raw:57f01fafa01a623dfea8e5858b9da9e865e2d0b5
2026-05-14T21:25:20+00:00 | sec=20  | BUY    | Down       | price=0.3900000023238096 | size=34.426228  | usd=13.426229  | ext_id=raw:a0df713baaca1dbe5bbf353065630d9772f2a5c7
2026-05-14T21:25:20+00:00 | sec=20  | BUY    | Down       | price=0.39       | size=2.5        | usd=0.975      | ext_id=raw:eaed36660932711c0c073b63373797c758c0e1f4
2026-05-14T21:25:25+00:00 | sec=25  | BUY    | Down       | price=0.39       | size=20.0       | usd=7.8        | ext_id=raw:53ea063d4f3d36f0d77821f0786e0e2177b3528a
2026-05-14T21:25:25+00:00 | sec=25  | BUY    | Down       | price=0.39000001976056553 | size=11.639343  | usd=4.539344   | ext_id=raw:8d62d73d992526549afe89180dad9d582b5af3c7
2026-05-14T21:25:25+00:00 | sec=25  | BUY    | Down       | price=0.39       | size=11.89      | usd=4.6371     | ext_id=raw:c4ae30341228951bbb0abf32a307b13cd58a7149
2026-05-14T21:25:27+00:00 | sec=27  | BUY    | Down       | price=0.3        | size=10.0       | usd=3.0        | ext_id=raw:25551bf173d6ada284a4d691f036fae4bb41d60e
