seq,external_id,timestamp,unix_ts,window_key,window_et_label,window_local_label,sec_from_window_start,sec_to_window_end,action_class,activity_type,outcome,side,price,size,amount_usd,cum_events,cum_buy,cum_sell,cum_merge,cum_usd,cum_size,cum_up_shares,cum_down_shares,cum_pairs_min,market_slug,event_slug,title
1,raw:69f8f036159bd89cef54e9c0ac9646ee7aee31f6,2026-05-15T03:10:07+00:00,1778814607,btc-updown-5m-1778814600 | btc-updown-5m-1778814600,11:10-11:15 PM ET,06:10-06:15 Europe/Kyiv,7,293,BUY,TRADE,Down,BUY,0.3500000121875013,12.307691,4.307692,1,1,0,0,4.307692,12.307691,0.0,12.307691,0.0,btc-updown-5m-1778814600,btc-updown-5m-1778814600,"Bitcoin Up or Down - May 14, 11:10PM-11:15PM ET"
2,raw:88f2813dd8a6c8206832d5001a98478b5c39150b,2026-05-15T03:10:07+00:00,1778814607,btc-updown-5m-1778814600 | btc-updown-5m-1778814600,11:10-11:15 PM ET,06:10-06:15 Europe/Kyiv,7,293,BUY,TRADE,Down,BUY,0.35,4.06,1.421,2,2,0,0,5.728692,16.367691,0.0,16.367691,0.0,btc-updown-5m-1778814600,btc-updown-5m-1778814600,"Bitcoin Up or Down - May 14, 11:10PM-11:15PM ET"
3,raw:94496afbb5403bdd4c74f9999746d2d2a4a7106a,2026-05-15T03:10:07+00:00,1778814607,btc-updown-5m-1778814600 | btc-updown-5m-1778814600,11:10-11:15 PM ET,06:10-06:15 Europe/Kyiv,7,293,BUY,TRADE,Down,BUY,0.35000000650000057,15.384614,5.384615,3,3,0,0,11.113307,31.752305,0.0,31.752305,0.0,btc-updown-5m-1778814600,btc-updown-5m-1778814600,"Bitcoin Up or Down - May 14, 11:10PM-11:15PM ET"
4,raw:ad805822bf11696dcb66b043dd6d8959381b28aa,2026-05-15T03:10:07+00:00,1778814607,btc-updown-5m-1778814600 | btc-updown-5m-1778814600,11:10-11:15 PM ET,06:10-06:15 Europe/Kyiv,7,293,BUY,TRADE,Down,BUY,0.35000002166666955,9.230768,3.230769,4,4,0,0,14.344076,40.983073,0.0,40.983073,0.0,btc-updown-5m-1778814600,btc-updown-5m-1778814600,"Bitcoin Up or Down - May 14, 11:10PM-11:15PM ET"
5,raw:ca256309e89333f13a9bef28b4428ddf7dd26e9d,2026-05-15T03:10:07+00:00,1778814607,btc-updown-5m-1778814600 | btc-updown-5m-1778814600,11:10-11:15 PM ET,06:10-06:15 Europe/Kyiv,7,293,BUY,TRADE,Down,BUY,0.35,0.38,0.133,5,5,0,0,14.477076,41.363073,0.0,41.363073,0.0,btc-updown-5m-1778814600,btc-updown-5m-1778814600,"Bitcoin Up or Down - May 14, 11:10PM-11:15PM ET"
6,raw:d24a9b3968f24e81df2043df436848428feb696f,2026-05-15T03:10:07+00:00,1778814607,btc-updown-5m-1778814600 | btc-updown-5m-1778814600,11:10-11:15 PM ET,06:10-06:15 Europe/Kyiv,7,293,BUY,TRADE,Down,BUY,0.35000005485240865,0.911537,0.319038,6,6,0,0,14.796114,42.27461,0.0,42.27461,0.0,btc-updown-5m-1778814600,btc-updown-5m-1778814600,"Bitcoin Up or Down - May 14, 11:10PM-11:15PM ET"
7,raw:db700297253ae97bba7d1545874b6d09bcdfaf26,2026-05-15T03:10:07+00:00,1778814607,btc-updown-5m-1778814600 | btc-updown-5m-1778814600,11:10-11:15 PM ET,06:10-06:15 Europe/Kyiv,7,293,BUY,TRADE,Down,BUY,0.3500000325000114,7.692305,2.692307,7,7,0,0,17.488421,49.966915,0.0,49.966915,0.0,btc-updown-5m-1778814600,btc-updown-5m-1778814600,"Bitcoin Up or Down - May 14, 11:10PM-11:15PM ET"
8,raw:3f6b52858aa5d7726d99a60df9b408988b8e9393,2026-05-15T03:10:12+00:00,1778814612,btc-updown-5m-1778814600 | btc-updown-5m-1778814600,11:10-11:15 PM ET,06:10-06:15 Europe/Kyiv,12,288,BUY,TRADE,Down,BUY,0.26,16.33,4.2458,8,8,0,0,21.734221,66.296915,0.0,66.296915,0.0,btc-updown-5m-1778814600,btc-updown-5m-1778814600,"Bitcoin Up or Down - May 14, 11:10PM-11:15PM ET"
9,raw:61f0ca9776352ebec85ea1437a352280b7ceaf88,2026-05-15T03:10:12+00:00,1778814612,btc-updown-5m-1778814600 | btc-updown-5m-1778814600,11:10-11:15 PM ET,06:10-06:15 Europe/Kyiv,12,288,BUY,TRADE,Down,BUY,0.3,1.71,0.513,9,9,0,0,22.247221,68.006915,0.0,68.006915,0.0,btc-updown-5m-1778814600,btc-updown-5m-1778814600,"Bitcoin Up or Down - May 14, 11:10PM-11:15PM ET"
10,raw:65c13ea860114ec2ffbc00f7303f0b5ad964ad07,2026-05-15T03:10:12+00:00,1778814612,btc-updown-5m-1778814600 | btc-updown-5m-1778814600,11:10-11:15 PM ET,06:10-06:15 Europe/Kyiv,12,288,BUY,TRADE,Down,BUY,0.31,47.29,14.6599,10,10,0,0,36.907121,115.296915,0.0,115.296915,0.0,btc-updown-5m-1778814600,btc-updown-5m-1778814600,"Bitcoin Up or Down - May 14, 11:10PM-11:15PM ET"
11,raw:7134b512646407ef583e95db4f30f3a2104ccb2b,2026-05-15T03:10:12+00:00,1778814612,btc-updown-5m-1778814600 | btc-updown-5m-1778814600,11:10-11:15 PM ET,06:10-06:15 Europe/Kyiv,12,288,BUY,TRADE,Down,BUY,0.25,28.67,7.1675,11,11,0,0,44.074621,143.966915,0.0,143.966915,0.0,btc-updown-5m-1778814600,btc-updown-5m-1778814600,"Bitcoin Up or Down - May 14, 11:10PM-11:15PM ET"
12,raw:8b9af7e59386b818af64ee05f6b541055ad99d7d,2026-05-15T03:10:12+00:00,1778814612,btc-updown-5m-1778814600 | btc-updown-5m-1778814600,11:10-11:15 PM ET,06:10-06:15 Europe/Kyiv,12,288,BUY,TRADE,Down,BUY,0.3,5.0,1.5,12,12,0,0,45.574621,148.966915,0.0,148.966915,0.0,btc-updown-5m-1778814600,btc-updown-5m-1778814600,"Bitcoin Up or Down - May 14, 11:10PM-11:15PM ET"
13,raw:af76f7e4c2e3b74d45251abf7e07b241f6364f96,2026-05-15T03:10:12+00:00,1778814612,btc-updown-5m-1778814600 | btc-updown-5m-1778814600,11:10-11:15 PM ET,06:10-06:15 Europe/Kyiv,12,288,BUY,TRADE,Down,BUY,0.25,6.666664,1.666666,13,13,0,0,47.241287,155.633579,0.0,155.633579,0.0,btc-updown-5m-1778814600,btc-updown-5m-1778814600,"Bitcoin Up or Down - May 14, 11:10PM-11:15PM ET"
14,raw:de16a6a734366949126f1c13f9168a9c45f688c8,2026-05-15T03:10:12+00:00,1778814612,btc-updown-5m-1778814600 | btc-updown-5m-1778814600,11:10-11:15 PM ET,06:10-06:15 Europe/Kyiv,12,288,BUY,TRADE,Down,BUY,0.26,33.67,8.7542,14,14,0,0,55.995487,189.303579,0.0,189.303579,0.0,btc-updown-5m-1778814600,btc-updown-5m-1778814600,"Bitcoin Up or Down - May 14, 11:10PM-11:15PM ET"
15,raw:df9ed9de1ef638028c78960c53eed2030add26cf,2026-05-15T03:10:12+00:00,1778814612,btc-updown-5m-1778814600 | btc-updown-5m-1778814600,11:10-11:15 PM ET,06:10-06:15 Europe/Kyiv,12,288,BUY,TRADE,Down,BUY,0.31,2.71,0.8401,15,15,0,0,56.835587,192.013579,0.0,192.013579,0.0,btc-updown-5m-1778814600,btc-updown-5m-1778814600,"Bitcoin Up or Down - May 14, 11:10PM-11:15PM ET"
16,raw:eb8bcb079c92719ecc98240f02e2e98fa7c96567,2026-05-15T03:10:12+00:00,1778814612,btc-updown-5m-1778814600 | btc-updown-5m-1778814600,11:10-11:15 PM ET,06:10-06:15 Europe/Kyiv,12,288,BUY,TRADE,Down,BUY,0.25,13.32,3.33,16,16,0,0,60.165587,205.333579,0.0,205.333579,0.0,btc-updown-5m-1778814600,btc-updown-5m-1778814600,"Bitcoin Up or Down - May 14, 11:10PM-11:15PM ET"
17,raw:1a51e89385b0402f8da6ccd32cdda52451f226c6,2026-05-15T03:10:14+00:00,1778814614,btc-updown-5m-1778814600 | btc-updown-5m-1778814600,11:10-11:15 PM ET,06:10-06:15 Europe/Kyiv,14,286,BUY,TRADE,Down,BUY,0.23,2.31,0.5313,17,17,0,0,60.696887,207.643579,0.0,207.643579,0.0,btc-updown-5m-1778814600,btc-updown-5m-1778814600,"Bitcoin Up or Down - May 14, 11:10PM-11:15PM ET"
18,raw:39cd693ca90d310781e3652e0b81f7c198ddf277,2026-05-15T03:10:14+00:00,1778814614,btc-updown-5m-1778814600 | btc-updown-5m-1778814600,11:10-11:15 PM ET,06:10-06:15 Europe/Kyiv,14,286,BUY,TRADE,Down,BUY,0.22,5.0,1.1,18,18,0,0,61.796887,212.643579,0.0,212.643579,0.0,btc-updown-5m-1778814600,btc-updown-5m-1778814600,"Bitcoin Up or Down - May 14, 11:10PM-11:15PM ET"
19,raw:3a36498aecd3c5ad6b8cd12f8da3a2789d43eee4,2026-05-15T03:10:14+00:00,1778814614,btc-updown-5m-1778814600 | btc-updown-5m-1778814600,11:10-11:15 PM ET,06:10-06:15 Europe/Kyiv,14,286,BUY,TRADE,Down,BUY,0.22,5.0,1.1,19,19,0,0,62.896887,217.643579,0.0,217.643579,0.0,btc-updown-5m-1778814600,btc-updown-5m-1778814600,"Bitcoin Up or Down - May 14, 11:10PM-11:15PM ET"
20,raw:440ff4cadf199ade8b76dbee568d43ecdc080cee,2026-05-15T03:10:14+00:00,1778814614,btc-updown-5m-1778814600 | btc-updown-5m-1778814600,11:10-11:15 PM ET,06:10-06:15 Europe/Kyiv,14,286,BUY,TRADE,Down,BUY,0.22000002846715744,7.02564,1.545641,20,20,0,0,64.442528,224.669219,0.0,224.669219,0.0,btc-updown-5m-1778814600,btc-updown-5m-1778814600,"Bitcoin Up or Down - May 14, 11:10PM-11:15PM ET"
